#YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2022,1,3,23,26,999 99.0 99.0,2.37,9.09,5.7,72 9999.0,999,9.2,999,99,99
2022,1,3,23,56,999 99.0 99.0,2.42,9.88,6.09,83 9999.0,999,9.2,999,99,99
2022,1,4,0,26,999 99.0 99.0,2.28,9.09,5.87,73 9999.0,999,9.1,999,99,99
2022,1,4,0,56,999 99.0 99.0,2.35,9.09,5.97,75 9999.0,999,9.1,999,99,99
2022,1,4,1,26,999 99.0 99.0,2.22,9.88,5.92,72 9999.0,999,9,999,99,99
2022,1,4,1,56,999 99.0 99.0,2.18,9.88,5.7,73 9999.0,999,9,999,99,99
2022,1,4,2,26,999 99.0 99.0,2.23,9.88,5.84,78 9999.0,999,8.9,999,99,99
2022,1,4,2,56,999 99.0 99.0,2.21,9.09,5.64,79 9999.0,999,8.9,999,99,99
2022,1,4,3,26,999 99.0 99.0,2.23,9.88,5.88,85 9999.0,999,8.9,999,99,99
2022,1,4,3,56,999 99.0 99.0,2.12,9.88,5.58,85 9999.0,999,8.9,999,99,99
2022,1,4,4,26,999 99.0 99.0,2.07,9.88,5.39,78 9999.0,999,8.8,999,99,99
2022,1,4,4,56,999 99.0 99.0,2.15,9.88,5.62,78 9999.0,999,8.8,999,99,99
2022,1,4,5,26,999 99.0 99.0,2.26,10.53,5.79,72 9999.0,999,8.7,999,99,99
2022,1,4,5,56,999 99.0 99.0,2.36,10.53,6.2,79 9999.0,999,8.7,999,99,99
2022,1,4,6,26,999 99.0 99.0,2.15,9.88,5.8,82 9999.0,999,8.6,999,99,99
2022,1,4,6,56,999 99.0 99.0,2.07,11.11,5.89,76 9999.0,999,8.6,999,99,99
2022,1,4,7,26,999 99.0 99.0,2.12,10.53,6,66 9999.0,999,8.6,999,99,99
2022,1,4,7,56,999 99.0 99.0,2.18,10.53,6.1,76 9999.0,999,8.6,999,99,99
2022,1,4,8,26,999 99.0 99.0,2.01,11.11,5.69,82 9999.0,999,8.6,999,99,99
2022,1,4,8,56,999 99.0 99.0,2.25,9.88,6.38,79 9999.0,999,8.6,999,99,99
2022,1,4,9,26,999 99.0 99.0,2.11,9.88,6.23,85 9999.0,999,8.6,999,99,99
2022,1,4,9,56,999 99.0 99.0,2.04,11.11,5.91,83 9999.0,999,8.5,999,99,99
2022,1,4,10,26,999 99.0 99.0,2.06,9.88,6.04,86 9999.0,999,8.5,999,99,99
2022,1,4,10,56,999 99.0 99.0,1.95,10.53,5.8,79 9999.0,999,8.5,999,99,99
2022,1,4,11,26,999 99.0 99.0,1.91,9.88,5.43,78 9999.0,999,8.5,999,99,99
2022,1,4,11,56,999 99.0 99.0,1.89,10.53,5.74,73 9999.0,999,8.5,999,99,99
2022,1,4,12,26,999 99.0 99.0,1.97,10.53,5.84,82 9999.0,999,8.5,999,99,99
2022,1,4,12,56,999 99.0 99.0,1.78,10.53,5.65,85 9999.0,999,8.6,999,99,99
2022,1,4,13,26,999 99.0 99.0,1.86,9.88,5.81,79 9999.0,999,8.6,999,99,99
2022,1,4,13,56,999 99.0 99.0,1.81,10.53,5.79,75 9999.0,999,8.6,999,99,99
2022,1,4,14,26,999 99.0 99.0,1.76,11.76,5.79,92 9999.0,999,8.6,999,99,99
2022,1,4,14,56,999 99.0 99.0,1.7,11.11,5.69,80 9999.0,999,8.6,999,99,99
2022,1,4,15,26,999 99.0 99.0,1.71,9.88,6.17,80 9999.0,999,8.4,999,99,99
2022,1,4,15,56,999 99.0 99.0,1.59,9.88,5.95,79 9999.0,999,8.4,999,99,99
2022,1,4,16,26,999 99.0 99.0,1.5,11.11,5.82,76 9999.0,999,8.4,999,99,99
2022,1,4,16,56,999 99.0 99.0,1.53,10.53,5.99,71 9999.0,999,8.4,999,99,99
2022,1,4,17,26,999 99.0 99.0,1.51,10.53,6.16,83 9999.0,999,8.4,999,99,99
2022,1,4,17,56,999 99.0 99.0,1.44,10.53,6.34,89 9999.0,999,8.4,999,99,99
2022,1,4,18,26,999 99.0 99.0,1.43,11.11,6.17,90 9999.0,999,8.4,999,99,99
2022,1,4,18,56,999 99.0 99.0,1.42,10.53,6.27,86 9999.0,999,8.4,999,99,99
2022,1,4,19,26,999 99.0 99.0,1.39,10.53,6.33,86 9999.0,999,8.5,999,99,99
2022,1,4,19,56,999 99.0 99.0,1.39,11.11,6.49,92 9999.0,999,8.4,999,99,99
2022,1,4,20,26,999 99.0 99.0,1.4,11.11,6.76,86 9999.0,999,8.4,999,99,99
2022,1,4,20,56,999 99.0 99.0,1.31,9.88,6.53,76 9999.0,999,8.4,999,99,99
2022,1,4,21,26,999 99.0 99.0,1.36,11.11,6.8,85 9999.0,999,8.4,999,99,99
2022,1,4,21,56,999 99.0 99.0,1.2,9.88,6.57,89 9999.0,999,8.3,999,99,99
2022,1,4,22,26,999 99.0 99.0,1.31,9.88,7.09,71 9999.0,999,8.4,999,99,99
2022,1,4,22,56,999 99.0 99.0,1.26,9.88,7.06,73 9999.0,999,8.4,999,99,99
2022,1,4,23,26,999 99.0 99.0,1.21,10.53,6.95,87 9999.0,999,8.5,999,99,99
2022,1,4,23,56,999 99.0 99.0,1.27,11.11,7.14,83 9999.0,999,8.5,999,99,99
2022,1,5,0,26,999 99.0 99.0,1.24,9.88,7.16,80 9999.0,999,8.5,999,99,99
2022,1,5,0,56,999 99.0 99.0,1.24,10.53,7.23,90 9999.0,999,8.5,999,99,99
2022,1,5,1,26,999 99.0 99.0,1.21,11.11,7.52,89 9999.0,999,8.5,999,99,99
2022,1,5,1,56,999 99.0 99.0,1.14,9.88,7.29,75 9999.0,999,8.5,999,99,99
